"","ID","name","category","main_category","currency","deadline","goal","launched","pledged","state","backers","country","usd.pledged","usd_pledged_real","usd_goal_real"
"129503",1657566665,"LILA: Leave it Locked, Always. Bluetooth Smart Home Security","Technology","Technology","GBP","4/23/2014",25000,"3/19/2014 17:40",15763,"canceled",250,"GB",26229,26495.55,42021.75
"107168",154478383,"Art In My Own Words (911 Project)","Illustration","Art","USD","10/18/2012",5500,"9/18/2012 4:41",150,"failed",2,"US",150,150,5500
"285562",522647708,"Saga Of Mong","Webseries","Film & Video","USD","4/28/2015",10000,"3/17/2015 16:38",3667,"failed",50,"US",3667,3667,10000
"109254",155522271,"Obra de teatro ""Luchando por la Vida Eterna""","Comedy","Theater","MXN","4/1/2017",35000,"3/5/2017 1:44",36250,"successful",25,"MX",5,1931.79,1865.17
"336903",785959281,"""I Am a Little Polar Bear"" - Children's Book","Children's Books","Publishing","USD","10/1/2012",2400,"8/31/2012 8:05",2560,"successful",50,"US",2560,2560,2400
"196982",2002987211,"Bee Eater","Pop","Music","USD","3/26/2017",3000,"2/24/2017 5:54",6625,"successful",253,"US",20,6625,3000
"12178",1061011826,"Brighter Than a Thousand Suns ""The Demon Haunted World"" Limited Color Vinyl Release!","Music","Music","USD","10/18/2010",1500,"7/21/2010 2:42",170,"failed",5,"US",170,170,1500
"71411",1363666332,"Boba Guys Labs: A New Way to Discover Boba Milk Tea","Food","Food","USD","5/14/2014",30000,"4/14/2014 10:39",33452,"successful",371,"US",33452,33452,30000
"120929",1614286769,"'Without Stars': a new contemporary dance production","Performances","Dance","GBP","5/24/2014",1500,"4/29/2014 14:23",1585,"successful",43,"GB",2661.11,2652.45,2510.21
"278923",48877141,"Fallen Frontiers REBOOT","Tabletop Games","Games","USD","12/5/2014",45000,"11/14/2014 20:03",109578,"successful",588,"US",109578,109578,45000
"313458",666509678,"Abacus OS - Generates apps from literally thousands of APIs.","Technology","Technology","USD","9/28/2013",1e+05,"7/30/2013 17:48",6721,"failed",37,"US",6721,6721,1e+05
"59816",1304152213,"Chordially Records: Our newest EP!","Music","Music","USD","2/1/2016",1750,"12/21/2015 19:23",1945,"undefined",0,"N,0""",NA,1945,1750
"93908",1477347275,"O Captain! My Captain! - A Portrait of Robin Williams","Painting","Art","USD","11/23/2014",4000,"10/21/2014 21:42",5,"failed",1,"US",5,5,4000
"328338",742638175,"Customer # 935","Shorts","Film & Video","USD","10/2/2012",6000,"8/23/2012 18:54",7932,"successful",129,"US",7932,7932,6000
"220076",2120911527,"Michigan Comics Collective Volume 2","Illustration","Art","USD","5/14/2016",500,"4/14/2016 1:44",1262,"successful",55,"US",1262,1262,500
"352129",863867707,"Latitude Browser - Safe, Secure and Modern Internet Browser","Web","Technology","AUD","1/17/2016",6000,"12/18/2015 23:46",156,"failed",7,"AU",111.9,109.63,4216.44
"285463",522171867,"Lost In Translation","Music","Music","USD","8/9/2014",888,"7/11/2014 22:24",0,"failed",0,"US",0,0,888
"50620",1257743391,"The highway to art upgrade","Public Art","Art","EUR","9/19/2016",1000,"8/20/2016 20:20",10,"failed",1,"BE",0,11.21,1121.4
"359216",900018786,"GTMC- Swag Pile Funding!","Hip-Hop","Music","USD","1/1/2013",500,"12/21/2012 2:03",535,"successful",17,"US",535,535,500
"312405",661346014,"An Architect makes space of Identity/Heroes","Art","Art","USD","8/1/2012",800,"7/12/2012 1:04",40,"failed",3,"US",40,40,800
"38556",119568076,"Restore our Vintage USA Made Drums","Music","Music","USD","7/12/2015",65000,"6/5/2015 4:31",0,"failed",0,"US",0,0,65000
"49241",1251053519,"Printable Tabletop Terrain for your 3D Printer","Tabletop Games","Games","EUR","4/2/2017",5000,"3/3/2017 13:16",702,"canceled",16,"DE",52.66,746.23,5315.02
"149912",176184566,"Join the Multiplex: Book 1 Club of Awesome","Webcomics","Comics","USD","12/12/2009",7500,"9/13/2009 22:04",13194.5,"successful",318,"US",13194.5,13194.5,7500
"230009",239325961,"Steve and the Dance Competition","Children's Books","Publishing","GBP","10/20/2017",2800,"9/20/2017 1:53",361,"failed",22,"GB",183.5,476.03,3692.18
"369227",951234387,"Knight Hopper","Games","Games","USD","11/10/2012",7500,"10/11/2012 18:40",1,"failed",1,"US",1,1,7500
"87743",1446075216,"Raccoon Tail","Design","Design","USD","7/3/2013",5000,"6/3/2013 15:36",3569,"failed",60,"US",3569,3569,5000
"194152",1988436488,"Auto Mobile Mechanic Set","Puzzles","Games","USD","8/12/2016",60000,"7/13/2016 18:26",111,"failed",3,"US",0,111,60000
"181289",192265026,"Hipster Breakfast","Webseries","Film & Video","USD","5/4/2012",40000,"3/5/2012 16:21",0,"failed",0,"US",0,0,40000
"75429",1384236300,"Waldemar the Warlock: A Horror Comedy adventure game","Video Games","Games","GBP","4/29/2014",40000,"3/27/2014 21:05",19657.55,"failed",593,"GB",32504.93,33173.94,67503.71
"213870",2089902695,"The Security Officer's Manual 1st Edition","Academic","Publishing","USD","4/24/2015",20000,"3/25/2015 20:57",0,"failed",0,"US",0,0,20000
"219857",2119855815,"TRAPMATS: THE WORLD’S FIRST EASY-CLEAN DUAL CAR MATS","Product Design","Design","USD","12/30/2016",30000,"11/15/2016 11:00",74438,"successful",755,"US",2669,74438,30000
"187905",1956511351,"Deluxe Barrel Aged Cocktail Kit","Drinks","Food","USD","11/26/2014",2000,"10/27/2014 14:47",2025,"successful",33,"US",2025,2025,2000
"246393",323047344,"Aether UAV","Flight","Technology","GBP","4/29/2015",500,"3/30/2015 18:14",1804,"successful",29,"GB",2683.65,2784.08,771.64
"12506",106275803,"For the Love of GUMBO","Food Trucks","Food","USD","11/22/2015",50000,"10/23/2015 2:30",1,"failed",1,"US",1,1,50000
"237326",276415366,"TourisMo (Private Lesson, Activity and Tour iOS app)","Technology","Technology","USD","6/5/2015",10000,"5/6/2015 7:31",0,"failed",0,"US",0,0,10000
"178190",1906704649,"Colors of Time","Digital Art","Art","USD","2/1/2012",1000,"12/19/2011 6:07",1112,"successful",25,"US",1112,1112,1000
"88403",1449453344,"Tiempo Líquido","Dance","Dance","EUR","9/2/2016",10000,"7/4/2016 22:41",3037,"failed",54,"DE",774.11,3399.3,11192.94
"293349",563172934,"In Sight and Sound: Live De(a)f Poetry","Performance Art","Art","USD","11/2/2012",3000,"10/3/2012 4:20",170,"failed",5,"US",170,170,3000
"229288",235766627,"[?sum] bags - by an engineer turned Project Runway designer","Fashion","Fashion","USD","5/19/2016",11000,"4/12/2016 17:11",125565,"successful",699,"US",125565,125565,11000
"352021",863328320,"""Two Moons over Hong Kong"" - oriental musical mystery.","Rock","Music","HKD","1/5/2017",350000,"12/6/2016 15:14",0,"canceled",0,"HK",0,0,45130.43
"224373",2142940339,"The Devil Wears Payless","Fiction","Publishing","USD","8/31/2015",22000,"8/1/2015 20:18",250,"failed",5,"US",250,250,22000
"94725",1481471723,"[BAHYT] Magazine: Art and Innovation Across Long Island","Periodicals","Publishing","USD","10/5/2013",5000,"9/5/2013 0:20",1865,"failed",29,"US",1865,1865,5000
"305912",627762456,"Amsterdam Station's New Album","Rock","Music","USD","9/27/2013",700,"8/28/2013 19:46",700,"successful",10,"US",700,700,700
"284390",51673884,"Hengelight","Video Games","Games","USD","8/30/2015",15000,"7/31/2015 8:00",1194,"failed",48,"US",1194,1194,15000
"253755",360514836,"Radio Free Honduras - Debut CD from Chicago-based Latin band","Latin","Music","USD","2/14/2015",4000,"1/24/2015 5:50",4748,"successful",88,"US",4748,4748,4000
"219870",211991048,"AuricSound ESS Twin SABRE® 32bit ES9028Q2M 768kHz DSD512 DAC","Sound","Technology","HKD","7/10/2017",50000,"6/10/2017 7:08",128000,"successful",62,"HK",13882.19,16392.81,6403.44
"27641",1140353549,"Armada - The Quintessential Automatic Sports Watch","Product Design","Design","USD","4/2/2016",29000,"2/16/2016 16:12",15214,"failed",61,"US",15214,15214,29000
"89461",1454484820,"The Town at World's End: Real World Climate Change Solutions","Fiction","Publishing","USD","7/3/2013",18250,"6/4/2013 18:53",756,"canceled",15,"US",756,756,18250
"151355",1769174115,"100 Years of Wisdom Documentary","Documentary","Film & Video","USD","7/20/2014",4000,"6/20/2014 21:25",1167,"failed",30,"US",1167,1167,4000
"244380",312868326,"The Other Side","Film & Video","Film & Video","USD","4/19/2014",50000,"3/20/2014 3:41",51850,"successful",240,"US",51850,51850,50000
"322036",709891028,"inkdfun photo project","Photography","Photography","USD","11/15/2012",2000,"10/16/2012 1:51",6,"failed",2,"US",6,6,2000
"123778",1628421207,"Gridfest: a Monome music festival in Santa Fe, NM","Music","Music","USD","3/27/2011",5000,"3/7/2011 19:02",5986,"successful",72,"US",5986,5986,5000
"7786",1039263538,"REDUX - A mid century inspired fabric collection by Sarah B.","Design","Design","USD","10/12/2016",15000,"9/7/2016 6:00",1050,"canceled",10,"US",150,1050,15000
"286467",527266606,"RaceToPlace","Apps","Technology","USD","12/19/2014",20000,"11/11/2014 22:40",231,"failed",5,"US",231,231,20000
"370141",955875179,"Animalo con letras","Animation","Film & Video","MXN","1/14/2017",30000,"11/15/2016 19:04",0,"failed",0,"MX",0,0,1364.82
"190083",196745447,"T Da TruFE's Freshman Album ""The Wrong Side of History""","Hip-Hop","Music","USD","2/21/2015",10000,"1/22/2015 16:02",25,"canceled",1,"US",25,25,10000
"39510",1200899760,"I NEED TO POOP..... AGAIN!","Illustration","Art","GBP","5/10/2017",100,"4/10/2017 19:59",305,"successful",3,"GB",0,392.16,128.58
"48866",1249166635,"Tawni's Marathon Month of Mayhem","Painting","Art","USD","7/31/2012",5000,"7/11/2012 22:05",670,"failed",12,"US",670,670,5000
"107976",1548914459,"Milly's Kitchen Bakery","Restaurants","Food","USD","11/2/2014",300,"10/3/2014 21:33",0,"failed",0,"US",0,0,300
"330817",755330841,"Spiral King Comics: 2015 - 2017 Collected Edition","Comic Books","Comics","USD","10/14/2017",1000,"9/14/2017 1:07",1136,"successful",28,"US",102,1136,1000
"306423",630466731,"3D MVP Lacrosse (iOS/Android videogame) (Canceled)","Video Games","Games","USD","11/18/2013",150000,"10/17/2013 12:06",4097,"canceled",38,"US",4097,4097,150000
"201811",2027712148,"THE BULLY is Series 3 of Tag Along With MoMo and JoJo","Children's Books","Publishing","USD","2/19/2015",5000,"1/20/2015 15:55",1,"failed",1,"US",1,1,5000
"164001",1834542407,"""Illegal Move"" Animated Short Film","Animation","Film & Video","USD","10/10/2015",1500,"9/10/2015 17:26",2736,"successful",43,"US",2736,2736,1500
"336894",785904967,"La Abeja Sagrada Maya / The Sacred Mayan Bee","Farms","Food","MXN","4/1/2017",250000,"2/27/2017 15:22",127190,"failed",111,"MX",755.98,6778.04,13322.68
"249983",341566518,"YouTube","Webseries","Film & Video","USD","10/2/2014",1600,"9/2/2014 18:43",0,"failed",0,"US",0,0,1600
"25842",1131330090,"New Farm Shop Food Hub, Butchery, Kitchen and Event Space","Food","Food","GBP","3/31/2017",30000,"3/1/2017 12:16",32417,"successful",257,"GB",2178.14,40509.6,37489.22
"229647",237540068,"Golf Juice: New Golf Entertainment Show!","Television","Film & Video","GBP","7/5/2015",30000,"6/10/2015 22:55",183,"failed",7,"GB",280.99,283.97,46552.77
"349977",852943606,"Tungsten Coins/Shields -Find Your Strength, Courage and You","Product Design","Design","USD","10/6/2015",3000,"9/11/2015 2:26",3046,"canceled",28,"US",3046,3046,3000
"258271",383148811,"GravityGame","Mobile Games","Games","GBP","12/23/2015",400,"12/7/2015 1:25",0,"failed",0,"GB",0,0,596.4
"229738",237949816,"Storm the Bridge","Tabletop Games","Games","USD","5/24/2016",14000,"4/22/2016 16:19",554,"failed",31,"US",554,554,14000
"12324",1061777494,"Party Play app","Apps","Technology","USD","2/15/2016",25000,"1/11/2016 23:14",0,"failed",0,"US",0,0,25000
"84665",1430497953,"The Great American Barn (Canceled)","Television","Film & Video","USD","5/23/2015",50000,"4/23/2015 23:45",0,"canceled",0,"US",0,0,50000
"141536",1719039742,"Jingwei Agency: éditer nos premiers livres en juin 2017","Fiction","Publishing","EUR","4/20/2017",6000,"3/6/2017 12:17",1,"failed",1,"FR",0,1.07,6418.83
"31514",1160218705,"Cambodian Traditional Fashion for modern time Store","Fashion","Fashion","USD","11/2/2014",2e+05,"9/3/2014 21:54",0,"failed",0,"US",0,0,2e+05
"330302",752704990,"Bergin Watch: Limited Member Edition (Suspended)","Product Design","Design","USD","6/28/2015",60000,"5/27/2015 16:06",3462,"suspended",10,"US",3462,3462,60000
"78773",1400783684,"Pillar: The lightest portable notebook computer stand","Product Design","Design","USD","6/13/2014",22000,"5/14/2014 16:00",32321,"successful",592,"US",32321,32321,22000
"266446",425523524,"Premium Skincare Products for the Trendy and Conscious Man","Fashion","Fashion","SEK","7/20/2017",1e+05,"6/20/2017 18:19",8600,"canceled",19,"SE",867.5,1040.83,12102.73
"211524",207803734,"Baj's Blazin' Hot Sauce","Vegan","Food","GBP","12/11/2017",5000,"11/6/2017 20:48",1841,"failed",55,"GB",170.02,2462.78,6688.69
"260676",395955950,"Oculi Sound Chamber","Architecture","Design","USD","6/5/2015",17000,"4/26/2015 20:07",5461,"failed",27,"US",5461,5461,17000
"85459",1434622730,"""Based On A Couple of True Stories"" The Series","Film & Video","Film & Video","USD","7/28/2012",60000,"5/29/2012 16:37",131,"failed",6,"US",131,131,60000
"65640",1333788306,"Bubbles On The Run","Mobile Games","Games","AUD","12/29/2016",15000,"11/29/2016 4:23",76,"suspended",2,"AU",41.84,54.89,10832.67
"263916",412189654,"Modern Streetwear for Hypebeasts and Fashionistas","Apparel","Fashion","USD","3/30/2017",575,"2/28/2017 3:37",0,"failed",0,"US",0,0,575
"103213",1524670799,"Kick Out the Commies: ""Red Herring"" at Parkway CCHS","Theater","Theater","USD","3/8/2011",1000,"1/27/2011 21:37",1315,"successful",35,"US",1315,1315,1000
"27751",1140887364,"Sleep (Canceled)","Photography","Photography","GBP","3/8/2014",20000,"2/6/2014 15:56",0,"canceled",0,"GB",0,0,33189.51
"1214",1006155697,"GAME TIME: TIC-TOCK TIC-TOCK ANTHOLOGY","Anthologies","Comics","USD","3/24/2017",5000,"2/22/2017 5:42",1686,"failed",30,"US",135,1686,5000
"32117",1163299329,"Saint Lewis - ""Morning will Come"" EP","Rock","Music","USD","7/26/2011",5000,"7/8/2011 23:08",5025,"successful",46,"US",5025,5025,5000
"3842",101974863,"Backdraft: A New Kind of Young Adult Novel","Fiction","Publishing","USD","8/13/2012",5000,"7/14/2012 11:23",50,"failed",1,"US",50,50,5000
"302505",610431649,"Finding The Light: Huff & H.O.P.E. Paranormal","Documentary","Film & Video","USD","8/19/2015",40000,"7/20/2015 20:02",7985,"failed",107,"US",7985,7985,40000
"229317",235893002,"Courage Has No Gender","Public Art","Art","USD","8/16/2017",30000,"7/14/2017 7:25",11478,"failed",128,"US",629,11478,30000
"204795",2043345497,"Sofia Talvik: ""Drivin' & Dreaming"" BOOK & LIVE ALBUM","Country & Folk","Music","USD","8/2/2013",3000,"6/3/2013 15:53",8433,"successful",92,"US",8433,8433,3000
"218909",2114930177,"café, arte y cultura, café literario, aquí se sirve cultura","Installations","Art","MXN","4/30/2017",2e+05,"3/4/2017 0:34",110,"failed",2,"MX",0,5.77,10495.38
"244674",3144404,"1916 Dead Rising (Teaser Trailer)","Horror","Film & Video","EUR","6/9/2015",5000,"5/10/2015 19:49",41,"failed",3,"IE",45.95,46,5609.97
"234350",261361487,"Creatures Of Cthulhu , Card game and Plush","Games","Games","USD","11/17/2017",12000,"9/26/2017 21:49",375,"failed",8,"US",187,375,12000
"14653",1073720972,"PERCEVAL'S SECRET needs e-formatting and a book cover!","Fiction","Publishing","USD","10/21/2013",5850,"9/21/2013 20:58",3194,"failed",48,"US",3194,3194,5850
"174532",188757324,"A Children's Story...""The Handsome Princess""","Children's Books","Publishing","USD","11/5/2014",4600,"10/7/2014 1:52",129,"failed",6,"US",129,129,4600
"313175",665090018,"REVIVING TRANSCENDENT CONSCIOUSNESS (Canceled)","Periodicals","Publishing","USD","4/14/2015",15000,"2/13/2015 18:05",0,"canceled",0,"US",0,0,15000
"118456",160180442,"Hoff-A Journal of Creative Pursuit","Art Books","Publishing","USD","2/27/2015",5995,"1/28/2015 4:28",44,"failed",1,"US",44,44,5995
"53622",1272852413,"Kelly Save The $#@#'ing Universe (Canceled)","Documentary","Film & Video","USD","3/31/2011",18000,"12/31/2010 3:23",0,"canceled",0,"US",0,0,18000
"224607",2144186266,"The Birthday Fairy (Canceled)","Children's Books","Publishing","USD","9/30/2015",5000,"8/31/2015 16:32",0,"canceled",0,"US",0,0,5000
"307587",636711805,"Whispers of Carcosa - A mysterious Lovecraftian horror film","Horror","Film & Video","USD","10/29/2015",3500,"9/29/2015 17:41",1706,"failed",37,"US",1706,1706,3500
"43632",1222001623,"Gray Wolf's Chainmaille","Crafts","Crafts","USD","4/22/2016",1500,"3/23/2016 15:05",207,"failed",8,"US",207,207,1500
"349430",850452239,"""Make Me A Sandwich""","Restaurants","Food","USD","11/7/2014",500,"10/8/2014 12:58",525,"successful",9,"US",525,525,500
"18155",109214082,"Dringa Games","Tabletop Games","Games","USD","12/6/2017",1200,"11/3/2017 4:21",199,"failed",11,"US",90,199,1200
"309127",644593941,"FEMINAZI: The Triggering","Video Games","Games","GBP","2/17/2017",64,"1/18/2017 20:02",415,"successful",67,"GB",74.88,515.6,79.51
"343830",821452013,"Help Michael Trieb make CD's for his new EP!","Indie Rock","Music","USD","4/22/2012",300,"3/23/2012 17:59",797,"successful",30,"US",797,797,300
"1419",1007234641,"Turn any ordinary pillow into a Cozy Animal Friend","Product Design","Design","USD","7/10/2013",25000,"6/7/2013 0:58",495,"failed",13,"US",495,495,25000
"177176",1901267866,"Help Tre to see a new life through this book","Children's Books","Publishing","USD","10/17/2014",4000,"9/17/2014 23:38",25,"failed",2,"US",25,25,4000
"236145",270437828,"When He Comes - New Music from Worship Artist John Chisum!","Faith","Music","USD","11/23/2014",5500,"10/24/2014 18:02",5790,"successful",48,"US",5790,5790,5500
"281740",5033146,"Paranormal Equipment Drive","Hardware","Technology","USD","6/10/2010",5000,"4/13/2010 5:51",0,"failed",0,"US",0,0,5000
"80995",1411848680,"AVICIDE - Edinburgh Festival Fringe 2015","Festivals","Theater","GBP","5/8/2015",1500,"3/29/2015 17:57",1511,"successful",19,"GB",2247.78,2328.99,2312.03
"291303",55240194,"Decade of Fire: How the South Bronx Was Burned","Film & Video","Film & Video","USD","7/10/2011",15000,"6/10/2011 13:56",16048,"successful",162,"US",16048,16048,15000
"375700",984786084,"A Table for 35 @ Ground Floor Workshop","Design","Design","USD","5/24/2011",3850,"5/2/2011 21:07",4685,"successful",51,"US",4685,4685,3850
"171140",187048832,"""Zombie Fairytale Theater""","Webseries","Film & Video","USD","6/21/2012",24300,"5/17/2012 4:36",265,"failed",10,"US",265,265,24300
"123819",1628620393,"Hot Smoked Sockeye Salmon: Wild Caught and Hand Made","Food","Food","USD","8/14/2013",25000,"7/15/2013 3:17",6104,"failed",38,"US",6104,6104,25000
"259281",388443599,"I Do, I Don’t - A Documentary About Christians & Divorce","Documentary","Film & Video","USD","6/7/2011",5000,"4/23/2011 1:58",0,"failed",0,"US",0,0,5000
"81802",1415914233,"The Postage Project","Mixed Media","Art","USD","4/1/2012",1300,"2/27/2012 23:55",50,"failed",1,"US",50,50,1300
"143430",1728681048,"Beer Fest: The Board Game (Canceled)","Tabletop Games","Games","USD","11/2/2014",20000,"10/3/2014 23:39",312,"canceled",9,"US",312,312,20000
"8041",1040615427,"LiveStar","Music","Music","USD","1/30/2016",15000,"12/1/2015 3:57",0,"failed",0,"US",0,0,15000
"284251",516016496,"Giving You the Tools to Green Your Neighborhood","Food","Food","USD","8/22/2013",5750,"7/23/2013 16:55",360,"failed",12,"US",360,360,5750
"91386",1464387284,"Trump Le Monde","Public Art","Art","USD","10/6/2016",5200,"9/27/2016 23:44",5566,"successful",91,"US",172,5566,5200
"289696",544003095,"WAVE Smart+  Universal Docking for Apple, Pebble, FITBIT...","Product Design","Design","USD","11/19/2015",1e+05,"9/29/2015 20:51",3540,"canceled",25,"US",3540,3540,1e+05
"182101",1926930958,"Mystic Realm","Tabletop Games","Games","USD","3/12/2013",3500,"2/10/2013 23:33",237,"failed",10,"US",237,237,3500
"146328",1743408452,"Butcher Block Tables","Crafts","Crafts","USD","10/26/2013",5000,"10/11/2013 17:52",1,"failed",1,"US",1,1,5000
"58760",1298856730,"Three Sisters Momo needs equipment!","Farmer's Markets","Food","USD","6/24/2015",1800,"5/15/2015 14:54",1938,"successful",46,"US",1938,1938,1800
"128797",1653906767,"Lindsay Lou & the Flatbellys NEW ALBUM","Music","Music","USD","3/20/2012",7500,"2/18/2012 17:21",8545,"successful",162,"US",8545,8545,7500
"257988",381687892,"The Heart of Shahrazad","Theater","Theater","USD","10/12/2014",3000,"9/12/2014 16:19",3671,"successful",11,"US",3671,3671,3000
"230659",242521970,"Cops and Monsters - A Monstrous Digital Web Series!","Webseries","Film & Video","GBP","10/2/2015",600,"9/2/2015 12:09",666,"successful",21,"GB",1025.24,1010.13,910.03
"77257",1393059436,"work in progress","People","Photography","USD","4/27/2015",5000,"3/28/2015 11:14",0,"failed",0,"US",0,0,5000
"356938",888334527,"The Grand Cosmic Journey CD/DVD Release","Jazz","Music","EUR","1/20/2016",5000,"12/21/2015 13:13",1624,"failed",29,"BE",1753.55,1755.22,5404
"289038",540739610,"Mom's Musical Memories","Pop","Music","USD","6/9/2012",4500,"5/10/2012 1:31",4742,"successful",105,"US",4742,4742,4500
"34552",1175176645,"The Demon Within","Fiction","Publishing","USD","12/28/2015",2500,"11/28/2015 5:03",0,"failed",0,"US",0,0,2500
"360263",905398913,"Unchurching Comic Book","Nonfiction","Publishing","USD","9/11/2017",7500,"8/12/2017 4:53",12176,"successful",145,"US",4161,12176,7500
"126878",1643980283,"We Made A Game - An Indie Game Documentary","Documentary","Film & Video","GBP","6/11/2014",2500,"5/12/2014 8:32",2804.04,"successful",80,"GB",4725.32,4756.24,4240.52
"370926",959984630,"Scooby Doo Van For Charity","Art","Art","AUD","10/4/2017",30000,"8/20/2017 15:52",83,"failed",6,"AU",35.68,64.52,23320.9
"112803",1572974063,"SACRAMENTO RUNNING (Canceled)","Journalism","Journalism","USD","4/14/2013",3000,"2/13/2013 22:27",25,"canceled",1,"US",25,25,3000
"205310",2045865110,"Last Hours Album Project","Hip-Hop","Music","USD","10/1/2014",2000,"9/9/2014 21:48",0,"failed",0,"US",0,0,2000
"23534",1119481080,"Becoming Global: Bilingual Ukrainian-English Picturebooks","Children's Books","Publishing","USD","6/18/2014",5000,"4/29/2014 22:10",5000,"successful",51,"US",5000,5000,5000
"269676",442191901,"Grown Azz Kids:The Comic Book","Comics","Comics","USD","8/6/2014",3500,"7/7/2014 3:19",21,"failed",5,"US",21,21,3500
"84990",1432286805,"Glass Legends Playing Card Deck","Playing Cards","Games","USD","10/19/2014",750,"9/27/2014 18:39",1990,"successful",94,"US",1990,1990,750
"351659",861472094,"The Most Portable Fidget Spinner - SpinCube","Product Design","Design","GBP","6/25/2017",17000,"5/26/2017 3:09",35915,"successful",570,"GB",24992.86,46610.77,22062.74
"256039",371981864,"A Lassie’s Love: inspiring the young with music","Classical Music","Music","GBP","5/3/2015",3000,"4/3/2015 19:50",3001,"successful",19,"GB",4449.8,4625.6,4624.06
"342616",815309917,"Tweener Apparel Co. - For the Avid Tennis Fan","Apparel","Fashion","CAD","12/1/2017",1000,"10/3/2017 20:28",0,"failed",0,"CA",0,0,776.76
"238574",283202885,"The JetHiking Project","Journalism","Journalism","USD","7/19/2013",10000,"6/19/2013 1:21",25,"failed",1,"US",25,25,10000
"337116",787117772,"F.A.B Football Magazine","Journalism","Journalism","USD","11/17/2016",1e+05,"10/18/2016 20:51",10,"failed",1,"US",0,10,1e+05
"87552",1445061105,"Pop Rock and Sugar","Jewelry","Fashion","USD","9/25/2015",500,"9/15/2015 6:18",0,"failed",0,"US",0,0,500
"161473",182126428,"""Beauty is a Beast"" Goes to the World's Largest Cat & Dog Show (Canceled)","Art","Art","USD","9/16/2010",700,"8/16/2010 5:25",0,"canceled",0,"US",0,0,700
